time,Abitibi-Témiscamingue interruptions,Abitibi-Témiscamingue customers,Bas-Saint-Laurent interruptions,Bas-Saint-Laurent customers,Capitale-Nationale interruptions,Capitale-Nationale customers,Centre-du-Québec interruptions,Centre-du-Québec customers,Chaudière-Appalaches interruptions,Chaudière-Appalaches customers,Côte-Nord interruptions,Côte-Nord customers,Estrie interruptions,Estrie customers,Gaspésie - Îles-de-la-Madeleine interruptions,Gaspésie - Îles-de-la-Madeleine customers,Lanaudière interruptions,Lanaudière customers,Laurentides interruptions,Laurentides customers,Laval interruptions,Laval customers,Mauricie interruptions,Mauricie customers,Montréal interruptions,Montréal customers,Montérégie interruptions,Montérégie customers,Nord-du-Québec interruptions,Nord-du-Québec customers,Outaouais interruptions,Outaouais customers,Saguenay - Lac-Saint-Jean interruptions,Saguenay - Lac-Saint-Jean customers,Across Québec interruptions,Across Québec customers
Mon Apr 10 23:11:28 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,17,84,1069,0,0,328,9786,75,1428,0,0,134,2161,0,0,626,14462
Mon Apr 10 23:26:29 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,17,83,1055,0,0,329,9814,74,1424,0,0,134,2161,0,0,625,14472
Mon Apr 10 23:41:30 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,17,83,1055,0,0,329,9724,74,1424,0,0,134,2161,0,0,625,14382
Mon Apr 10 23:56:31 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,17,83,1055,0,0,328,9692,75,1427,0,0,134,2161,0,0,625,14353
Tue Apr 11 00:11:33 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,8,83,1055,0,0,326,9652,74,1424,0,0,134,2161,0,0,621,14301
Tue Apr 11 00:26:34 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,83,1055,0,0,326,9652,73,1415,0,0,133,2153,0,0,618,14282
Tue Apr 11 00:41:35 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,83,1055,0,0,326,9652,72,1320,0,0,133,2153,0,0,617,14187
Tue Apr 11 00:56:36 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,83,1055,0,0,327,9704,72,1320,0,0,132,2149,0,0,617,14235
Tue Apr 11 01:11:37 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,83,1055,0,0,329,9755,70,1244,0,0,133,2159,0,0,618,14220
Tue Apr 11 01:26:38 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,83,1055,0,0,329,9755,70,1244,0,0,133,2159,0,0,618,14220
Tue Apr 11 01:41:39 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,81,983,0,0,329,9755,70,1244,0,0,132,2158,0,0,614,14143
Tue Apr 11 01:56:41 2023,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,81,983,0,0,329,9755,72,1773,0,0,130,2126,0,0,615,14642
Tue Apr 11 02:11:42 2023,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,79,939,0,0,328,9633,71,1760,0,0,130,2126,0,0,611,14463
Tue Apr 11 02:26:42 2023,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,2,78,925,0,0,328,9633,71,1760,0,0,130,2125,0,0,611,14453
Tue Apr 11 02:41:43 2023,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,2,78,925,0,0,328,9633,71,562,0,0,130,2125,0,0,611,13255
Tue Apr 11 02:56:44 2023,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,2,78,925,0,0,329,9689,71,562,0,0,130,2125,0,0,612,13311
Tue Apr 11 03:11:45 2023,0,0,1,2,0,0,0,0,1,2,0,0,0,0,0,0,2,6,1,2,78,925,0,0,328,9675,71,562,0,0,128,2118,0,0,610,13292
Tue Apr 11 03:26:46 2023,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,6,1,2,78,925,0,0,329,9724,70,554,0,0,128,2415,0,0,609,13628
Tue Apr 11 03:41:47 2023,0,0,0,0,0,0,1,12,1,2,0,0,0,0,0,0,2,6,1,2,75,896,0,0,329,9724,70,554,0,0,128,2415,0,0,607,13611
Tue Apr 11 03:56:48 2023,0,0,0,0,0,0,1,12,1,2,0,0,0,0,0,0,2,6,1,2,74,875,0,0,331,9897,70,554,0,0,128,2415,0,0,608,13763
Tue Apr 11 04:11:49 2023,0,0,0,0,0,0,1,12,1,2,0,0,0,0,0,0,2,6,1,2,76,903,0,0,331,9897,70,554,0,0,129,2448,0,0,611,13824
Tue Apr 11 04:26:50 2023,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,2,6,1,2,74,873,0,0,331,9897,71,555,0,0,128,2443,0,0,608,13788
Tue Apr 11 04:41:50 2023,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,2,6,1,2,74,873,0,0,332,10007,70,550,0,0,128,2443,0,0,608,13893
Tue Apr 11 04:56:51 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,1,2,74,873,0,0,333,10018,72,569,0,0,127,2436,0,0,609,13911
Tue Apr 11 05:11:52 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,1,2,74,873,0,0,333,10018,71,552,0,0,128,2440,0,0,609,13898
Tue Apr 11 05:26:53 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,1,2,74,873,0,0,333,10018,71,552,0,0,128,2440,0,0,609,13898
Tue Apr 11 05:41:54 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,1,2,73,862,0,0,334,9930,71,552,0,0,128,2900,1,11,610,14270
Tue Apr 11 05:56:55 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,1,2,74,869,0,0,325,9662,71,552,0,0,127,2576,1,11,601,13685
Tue Apr 11 06:11:56 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,1,2,71,817,0,0,317,9422,69,532,0,0,127,2576,0,0,588,13365
Tue Apr 11 06:26:56 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,1,2,71,817,0,0,316,9391,71,548,0,0,127,2570,0,0,588,13343
Tue Apr 11 06:41:59 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,1,2,71,817,0,0,318,9434,71,535,0,0,128,2430,0,0,591,13233
Tue Apr 11 06:56:59 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,1,2,72,831,0,0,319,9437,71,535,0,0,128,2437,0,0,593,13257
Tue Apr 11 07:12:00 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,1,2,68,786,0,0,319,9437,72,543,0,0,126,2417,1,1,590,13203
Tue Apr 11 07:27:01 2023,4,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,1,2,66,765,0,0,320,9352,71,522,0,0,126,2417,0,0,591,13532
Tue Apr 11 07:42:02 2023,4,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10760,2,3,66,765,0,0,320,9354,73,532,0,0,126,2417,0,0,602,24288
Tue Apr 11 07:57:03 2023,1,427,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,102,2,3,65,744,0,0,308,8950,74,534,0,0,127,2418,0,0,583,13180
Tue Apr 11 08:12:04 2023,1,427,2,4,1,9,0,0,0,0,0,0,0,0,0,0,6,102,3,4,66,752,0,0,305,8854,74,534,0,0,127,2418,0,0,585,13104
Tue Apr 11 08:27:05 2023,1,427,2,4,1,9,0,0,1,49,0,0,0,0,0,0,6,102,4,11,67,761,0,0,306,8808,74,534,0,0,127,2557,0,0,589,13262
Tue Apr 11 08:42:06 2023,1,427,2,4,1,9,1,2083,1,49,0,0,1,1,0,0,6,120,3,10,68,773,0,0,302,8715,74,539,0,0,128,2604,0,0,588,15334
Tue Apr 11 08:57:06 2023,1,427,2,4,1,9,1,2083,1,49,0,0,1,1,0,0,6,120,3,10,68,773,0,0,302,8715,74,539,0,0,128,2604,0,0,588,15334
Tue Apr 11 09:12:07 2023,1,427,1,2,1,9,1,1,2,56,0,0,1,1,0,0,2,5,3,10,67,760,0,0,308,8857,71,523,0,0,128,2625,0,0,586,13276
Tue Apr 11 09:27:08 2023,0,0,1,3,1,9,1,1,2,56,0,0,1,1,0,0,2,5,3,10,66,743,0,0,303,8778,66,508,0,0,128,2610,0,0,574,12724
Tue Apr 11 09:42:09 2023,0,0,1,3,0,0,1,1,3,58,0,0,1,1,0,0,2,5,5,32,60,690,1,20,305,8851,63,484,0,0,128,2576,0,0,570,12721
Tue Apr 11 09:57:10 2023,0,0,1,3,0,0,2,2,3,58,0,0,1,1,0,0,2,5,6,44,59,672,0,0,298,8617,54,513,0,0,125,3976,0,0,551,13891
Tue Apr 11 10:12:11 2023,0,0,1,3,0,0,2,2,2,56,0,0,2,3,0,0,1,2,6,44,80,2300,0,0,296,8686,53,511,0,0,123,3938,0,0,566,15545
Tue Apr 11 10:27:11 2023,0,0,0,0,0,0,3,3,2,56,0,0,2,3,0,0,2,7,6,44,53,2349,0,0,289,8531,52,498,0,0,120,3814,0,0,529,15305
Tue Apr 11 10:42:12 2023,0,0,0,0,1,1,4,4,2,56,0,0,2,3,0,0,2,7,5,32,49,2305,0,0,277,8274,52,500,0,0,120,3756,0,0,514,14938
Tue Apr 11 10:57:13 2023,0,0,0,0,1,5,4,4,1,7,0,0,2,3,0,0,2,7,4,13,49,2310,2,1234,274,8149,50,479,0,0,120,3739,0,0,509,15950
Tue Apr 11 11:12:14 2023,0,0,0,0,1,6,3,3,1,7,0,0,2,3,0,0,1,5,4,13,46,2284,2,1234,273,8262,50,463,0,0,112,3626,0,0,495,15906
Tue Apr 11 11:27:15 2023,0,0,0,0,1,6,1,1,1,7,0,0,2,3,1,1,1,5,6,132,43,2242,2,1032,267,8229,51,687,0,0,107,3657,0,0,483,16002
Tue Apr 11 11:42:16 2023,0,0,0,0,1,6,1,1,1,7,0,0,2,3,1,1,1,5,6,132,41,1343,2,1032,258,12928,48,669,0,0,104,3588,0,0,466,19715
Tue Apr 11 11:57:16 2023,0,0,0,0,1,6,1,1,1,7,0,0,3,5,1,1,0,0,6,132,42,2067,2,1032,251,12917,46,10582,0,0,96,3319,0,0,450,30069
Tue Apr 11 12:12:17 2023,0,0,0,0,1,6,1,1,1,7,0,0,3,5,1,1,0,0,6,132,42,2067,2,1032,250,12695,49,10552,0,0,92,3248,0,0,448,29746
Tue Apr 11 12:27:18 2023,0,0,0,0,1,6,1,1,1,7,0,0,3,5,1,1,0,0,6,132,42,2067,2,1032,250,12695,49,10552,0,0,92,3248,0,0,448,29746
Tue Apr 11 12:42:19 2023,0,0,0,0,1,2,0,0,0,0,0,0,3,964,1,1,0,0,3,11,34,1835,2,95,239,7322,41,5269,0,0,86,3111,0,0,410,18610
Tue Apr 11 12:57:20 2023,0,0,0,0,1,2,0,0,0,0,0,0,5,1720,1,1,0,0,3,11,34,1839,2,95,232,7061,40,5270,0,0,84,3106,0,0,402,19105
Tue Apr 11 13:12:21 2023,0,0,0,0,1,2,1,2,0,0,0,0,6,1070,1,1,0,0,3,11,34,1839,2,95,226,7186,39,2894,0,0,83,3068,0,0,396,16168
Tue Apr 11 13:27:22 2023,0,0,0,0,0,0,1,2,1,2,0,0,6,1070,1,1,1,74,2,4,29,1779,2,95,218,7035,29,2948,0,0,81,3067,0,0,371,16077
Tue Apr 11 13:42:22 2023,0,0,0,0,0,0,1,2,1,2,0,0,6,1070,1,1,1,74,2,4,29,1121,1,86,206,6879,25,2801,0,0,79,3056,0,0,352,15096
Tue Apr 11 13:57:23 2023,0,0,0,0,0,0,1,2,1,2,0,0,6,1070,1,1,1,74,2,4,25,1069,1,86,202,10777,27,1701,0,0,79,1703,0,0,346,16489
